1,1,CHACHAPOYAS,0101
2,1,BAGUA,0102
3,1,BONGARA,0103
4,1,CONDORCANQUI,0104
5,1,LUYA,0105
6,1,RODRIGUEZ DE MENDOZA,0106
7,1,UTCUBAMBA,0107
8,2,HUARAZ,0201
9,2,AIJA,0202
10,2,ANTONIO RAYMONDI,0203
11,2,ASUNCION,0204
12,2,BOLOGNESI,0205
13,2,CARHUAZ,0206
14,2,CARLOS FERMIN FITZCARRALD,0207
15,2,CASMA,0208
16,2,CORONGO,0209
17,2,HUARI,0210
18,2,HUARMEY,0211
19,2,HUAYLAS,0212
20,2,MARISCAL LUZURIAGA,0213
21,2,OCROS,0214
22,2,PALLASCA,0215
23,2,POMABAMBA,0216
24,2,RECUAY,0217
25,2,SANTA,0218
26,2,SIHUAS,0219
27,2,YUNGAY,0220
28,3,ABANCAY,0301
29,3,ANDAHUAYLAS,0302
30,3,ANTABAMBA,0303
31,3,AYMARAES,0304
32,3,COTABAMBAS,0305
33,3,CHINCHEROS,0306
34,3,GRAU,0307
35,4,AREQUIPA,0401
36,4,CAMANA,0402
37,4,CARAVELI,0403
38,4,CASTILLA,0404
39,4,CAYLLOMA,0405
40,4,CONDESUYOS,0406
41,4,ISLAY,0407
42,4,LA UNION,0408
43,5,HUAMANGA,0501
44,5,CANGALLO,0502
45,5,HUANCA SANCOS,0503
46,5,HUANTA,0504
47,5,LA MAR,0505
48,5,LUCANAS,0506
49,5,PARINACOCHAS,0507
50,5,PAUCAR DEL SARA SARA,0508
51,5,SUCRE,0509
52,5,VICTOR FAJARDO,0510
53,5,VILCAS HUAMAN,0511
54,6,CAJAMARCA,0601
55,6,CAJABAMBA,0602
56,6,CELENDIN,0603
57,6,CHOTA,0604
58,6,CONTUMAZA,0605
59,6,CUTERVO,0606
60,6,HUALGAYOC,0607
61,6,JAEN,0608
62,6,SAN IGNACIO,0609
63,6,SAN MARCOS,0610
64,6,SAN MIGUEL,0611
65,6,SAN PABLO,0612
66,6,SANTA CRUZ,0613
67,7,CALLAO,0701
68,8,CUSCO,0801
69,8,ACOMAYO,0802
70,8,ANTA,0803
71,8,CALCA,0804
72,8,CANAS,0805
73,8,CANCHIS,0806
74,8,CHUMBIVILCAS,0807
75,8,ESPINAR,0808
76,8,LA CONVENCION,0809
77,8,PARURO,0810
78,8,PAUCARTAMBO,0811
79,8,QUISPICANCHI,0812
80,8,URUBAMBA,0813
81,9,HUANCAVELICA,0901
82,9,ACOBAMBA,0902
83,9,ANGARAES,0903
84,9,CASTROVIRREYNA,0904
85,9,CHURCAMPA,0905
86,9,HUAYTARA,0906
87,9,TAYACAJA,0907
88,10,HUANUCO,1001
89,10,AMBO,1002
90,10,DOS DE MAYO,1003
91,10,HUACAYBAMBA,1004
92,10,HUAMALIES,1005
93,10,LEONCIO PRADO,1006
94,10,MARAÑON,1007
95,10,PACHITEA,1008
96,10,PUERTO INCA,1009
97,10,LAURICOCHA,1010
98,10,YAROWILCA,1011
99,11,ICA,1101
100,11,CHINCHA,1102
101,11,NASCA,1103
102,11,PALPA,1104
103,11,PISCO,1105
104,12,HUANCAYO,1201
105,12,CONCEPCION,1202
106,12,CHANCHAMAYO,1203
107,12,JAUJA,1204
108,12,JUNIN,1205
109,12,SATIPO,1206
110,12,TARMA,1207
111,12,YAULI,1208
112,12,CHUPACA,1209
113,13,TRUJILLO,1301
114,13,ASCOPE,1302
115,13,BOLIVAR,1303
116,13,CHEPEN,1304
117,13,JULCAN,1305
118,13,OTUZCO,1306
119,13,PACASMAYO,1307
120,13,PATAZ,1308
121,13,SANCHEZ CARRION,1309
122,13,SANTIAGO DE CHUCO,1310
123,13,GRAN CHIMU,1311
124,13,VIRU,1312
125,14,CHICLAYO,1401
126,14,FERREÑAFE,1402
127,14,LAMBAYEQUE,1403
128,15,LIMA,1501
129,15,BARRANCA,1502
130,15,CAJATAMBO,1503
131,15,CANTA,1504
132,15,CAÑETE,1505
133,15,HUARAL,1506
134,15,HUAROCHIRI,1507
135,15,HUAURA,1508
136,15,OYON,1509
137,15,YAUYOS,1510
138,16,MAYNAS,1601
139,16,ALTO AMAZONAS,1602
140,16,LORETO,1603
141,16,MARISCAL RAMON CASTILLA,1604
142,16,REQUENA,1605
143,16,UCAYALI,1606
144,16,DATEM DEL MARAÑON,1607
145,16,PUTUMAYO,1608
146,17,TAMBOPATA,1701
147,17,MANU,1702
148,17,TAHUAMANU,1703
149,18,MARISCAL NIETO,1801
150,18,GENERAL SANCHEZ CERRO,1802
151,18,ILO,1803
152,19,PASCO,1901
153,19,DANIEL ALCIDES CARRION,1902
154,19,OXAPAMPA,1903
155,20,PIURA,2001
156,20,AYABACA,2002
157,20,HUANCABAMBA,2003
158,20,MORROPON,2004
159,20,PAITA,2005
160,20,SULLANA,2006
161,20,TALARA,2007
162,20,SECHURA,2008
163,21,PUNO,2101
164,21,AZANGARO,2102
165,21,CARABAYA,2103
166,21,CHUCUITO,2104
167,21,EL COLLAO,2105
168,21,HUANCANE,2106
169,21,LAMPA,2107
170,21,MELGAR,2108
171,21,MOHO,2109
172,21,SAN ANTONIO DE PUTINA,2110
173,21,SAN ROMAN,2111
174,21,SANDIA,2112
175,21,YUNGUYO,2113
176,22,MOYOBAMBA,2201
177,22,BELLAVISTA,2202
178,22,EL DORADO,2203
179,22,HUALLAGA,2204
180,22,LAMAS,2205
181,22,MARISCAL CACERES,2206
182,22,PICOTA,2207
183,22,RIOJA,2208
184,22,SAN MARTIN,2209
185,22,TOCACHE,2210
186,23,TACNA,2301
187,23,CANDARAVE,2302
188,23,JORGE BASADRE,2303
189,23,TARATA,2304
190,24,TUMBES,2401
191,24,CONTRALMIRANTE VILLAR,2402
192,24,ZARUMILLA,2403
193,25,CORONEL PORTILLO,2501
194,25,ATALAYA,2502
195,25,PADRE ABAD,2503
196,25,PURUS,2504
